season,episode,title,air_date,writers,directors,rating,total_votes
6,19,Seeing Red,2002-05-07,"[Joss Whedon, Steven S. DeKnight, Rebecca Kirshner]",[Michael Gershman],8.5,2754
6,20,Villains,2002-05-14,"[Joss Whedon, Marti Noxon, Rebecca Kirshner]",[David Solomon],8.8,2789
6,21,Two to Go,2002-05-21,"[Joss Whedon, Douglas Petrie, Rebecca Kirshner]",[Bill Norton],8.7,2650
6,22,Grave,2002-05-21,"[Joss Whedon, David Fury, Rebecca Kirshner]",[James A. Contner],8.9,3030
7,1,Lessons,2002-09-24,"[Joss Whedon, Rebecca Kirshner, Drew Z. Greenberg]",[David Solomon],7.6,2297
7,2,Beneath You,2002-10-01,"[Joss Whedon, Douglas Petrie, Rebecca Kirshner]",[Nick Marck],7.8,2402
7,3,"Same Time, Same Place",2002-10-08,"[Joss Whedon, Jane Espenson, Rebecca Kirshner]",[James A. Contner],7.9,2263
7,4,Help,2002-10-15,"[Joss Whedon, Rebecca Kirshner, Drew Z. Greenberg]",[Rick Rosenthal],7.8,2281
7,5,Selfless,2002-10-22,"[Joss Whedon, Drew Goddard, Rebecca Kirshner]",[David Solomon],8.6,2840
7,6,Him,2002-11-05,"[Joss Whedon, Drew Z. Greenberg, Rebecca Kirshner]",[Michael Gershman],7.1,2516
7,7,Conversations with Dead People,2002-11-12,"[Joss Whedon, Jane Espenson, Drew Goddard]",[Nick Marck],8.9,3280
7,8,Sleeper,2002-11-19,"[Joss Whedon, David Fury, Jane Espenson]",[Alan J. Levi],7.7,2184
7,9,Never Leave Me,2002-11-26,"[Joss Whedon, Drew Goddard, Rebecca Kirshner]",[David Solomon],7.8,2098
7,10,Bring on the Night,2002-12-17,"[Joss Whedon, Marti Noxon, Douglas Petrie]",[David Grossman],7.7,2106
7,11,Showtime,2003-01-07,"[Joss Whedon, David Fury, Rebecca Kirshner]",[Michael Grossman],8,2233
7,12,Potential,2003-01-21,"[Joss Whedon, Rebecca Kirshner, Drew Z. Greenberg]",[James A. Contner],7.6,2097
7,13,The Killer in Me,2003-02-04,"[Joss Whedon, Drew Z. Greenberg, Rebecca Kirshner]",[David Solomon],7.2,2214
7,14,First Date,2003-02-11,"[Joss Whedon, Jane Espenson, Rebecca Kirshner]",[David Grossman],7.4,2093
7,15,Get It Done,2003-02-18,"[Joss Whedon, Douglas Petrie, Rebecca Kirshner]",[Douglas Petrie],7.5,2069
7,16,Storyteller,2003-02-25,"[Joss Whedon, Jane Espenson, Rebecca Kirshner]",[Marita Grabiak],8.2,2591
7,17,Lies My Parents Told Me,2003-03-25,"[Joss Whedon, David Fury, Drew Goddard]",[David Fury],8.7,2915
7,18,Dirty Girls,2003-04-15,"[Joss Whedon, Drew Goddard, Rebecca Kirshner]",[Michael Gershman],8.6,2290
7,19,Empty Places,2003-04-29,"[Joss Whedon, Drew Z. Greenberg, Rebecca Kirshner]",[James A. Contner],7.6,2175
7,20,Touched,2003-05-06,"[Joss Whedon, Rebecca Kirshner, Drew Z. Greenberg]",[David Solomon],8.4,2577
7,21,End of Days,2003-05-13,"[Joss Whedon, Douglas Petrie, Jane Espenson]",[Marita Grabiak],8.5,2572
7,22,Chosen,2003-05-20,"[Joss Whedon, Rebecca Kirshner, Drew Z. Greenberg]",[Joss Whedon],9.3,4441
